1_q	Romenay estas franca komunumo lokita en la departemento Haute-Vienne kaj en la regiono Burgonjo.
18_q_triples	 Santa María del Río -- ŝtato -- Meksiko ; Santa María del Río -- estas -- municipality of Mexico ; Santa María del Río -- troviĝas en administra unuo -- San Luis Potosí ;
19_q	Wolfgang TIEFENSEE (naskiĝinta la (manka nombro) - an de januaro (jaro) en Gera) estas germana politikisto. 
19_q_triples	 Wolfgang Tiefensee -- sekso -- vira ; Wolfgang Tiefensee -- Komuneja kategorio -- Wolfgang ; Wolfgang Tiefensee -- ŝtataneco -- Germanio ; Wolfgang Tiefensee -- ŝtataneco -- Germana Demokratia Respubliko ; Wolfgang Tiefensee -- naskiĝloko -- Gera ; Wolfgang Tiefensee -- partio -- Socialdemokratia Partio de Germanio ; Wolfgang Tiefensee -- okupo -- politikisto ; Wolfgang Tiefensee -- okupo -- electrical engineer ; Wolfgang Tiefensee -- posteno -- Minister of Transportation ; Wolfgang Tiefensee -- posteno -- urbestro ; Wolfgang Tiefensee -- posteno -- urbestro ; Wolfgang Tiefensee -- posteno -- member of the German Bundestag ; Wolfgang Tiefensee -- estas -- homo ; Wolfgang Tiefensee -- antaŭnomo -- Wolfgang ; Wolfgang Tiefensee -- lingvoj parolataj, skribitaj aŭ signitaj -- germana lingvo ; Wolfgang Tiefensee -- patro -- Siegfried Tiefensee ; Wolfgang Tiefensee -- membro de -- Cabinet Ramelow ; Wolfgang Tiefensee -- partopreno en -- German presidential election, 2012 ; Wolfgang Tiefensee -- partopreno en -- German presidential election, 2009 ; Wolfgang Tiefensee -- partopreno en -- German presidential election, 2010 ; Wolfgang Tiefensee -- partopreno en -- list of participants in the coalition talks between the CDU/CSU and SPD in 2013 ; Wolfgang Tiefensee -- denaska lingvo -- germana lingvo ; Wolfgang Tiefensee -- http://www.wikidata.org/prop/direct/P1416 -- SPD-Bundestagsfraktion ; Wolfgang Tiefensee -- komuneja bildaro -- Wolfgang ; Wolfgang Tiefensee -- loko de agado -- Berlino ;
20_q	Schinnen [(manka vorto)] estas komunumo en la nederlanda provinco Suda Holando. 
20_q_triples	 Schinnen -- blazono -- coat of arms of Schinnen ; Schinnen -- troviĝas en administra unuo -- Limburgo ; Schinnen -- Komuneja kategorio -- Schinnen ; Schinnen -- ŝtato -- Nederlando ; Schinnen -- estas -- municipo en Nederlando ; Schinnen -- komuna landlimo kun -- Onderbanken ; Schinnen -- komuna landlimo kun -- Beek ; Schinnen -- komuna landlimo kun -- Brunssum ; Schinnen -- komuna landlimo kun -- Sittard-Geleen ; Schinnen -- komuna landlimo kun -- Nuth ; Schinnen -- komuna landlimo kun -- Heerlen ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Doenrade ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Klein-Doenrade ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Onderste Puth ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Sweikhuizen ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Heisterbrug ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Puth ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Nagelbeek ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Thull ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Oirsbeek ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Wolfhagen ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Bovenste Puth ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Windraak ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Amstenrade ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Hegge ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Hoeve Krekelberg ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Schinnen ; Schinnen -- tempozono -- Mezeŭropa tempo ; Schinnen -- poŝtkodo -- 6155 ; Schinnen -- poŝtkodo -- 6174 ; Schinnen -- poŝtkodo -- 6365 ; Schinnen -- poŝtkodo -- 6436u20136439 ; Schinnen -- loka telefonkodo -- 046 ; Schinnen -- estro -- Lu00E9on Frissen ; Schinnen -- partio -- Kristandemokrata Apelo ; Schinnen -- nomo en originala aŭ oficiala lingvo -- Sju00E8nne ;
21_q	Hirokeno estas neregula satelito de Saturno, ano de la norda grupo. 
21_q_triples	 Hirokeno -- patra korpo -- Saturno ; Hirokeno -- dumtempa nomo -- S/2004 ; Hirokeno -- nomita laŭ -- Hyrrokkin ; Hirokeno -- estas -- Natura satelito ;
22_q	Sáta [(manka vorto)] estas malgranda vilaĝo en Hungario, en regiono Norda Hungario, en departemento Borsod-Abaúj-Zemplén, en subregiono de Borsod-Abaúj-Zemplén. 
22_q_triples	 Sáta -- troviĝas en administra unuo -- Borsod-Abaúj-Zemplén ; Sáta -- ŝtato -- Hungario ; Sáta -- estas -- municipality of Hungary ; Sáta -- poŝtkodo -- 3659 ; Sáta -- tempozono -- Mezeŭropa tempo ; Sáta -- Komuneja kategorio -- Su00E1ta ; Sáta -- loka telefonkodo -- 48 ;
23_q	Zederik estas komunumo en la nederlanda provinco Zuid-Holland. 
23_q_triples	 Zederik -- troviĝas en administra unuo -- Suda Holando ; Zederik -- poŝtkodo -- 4126 ; Zederik -- poŝtkodo -- 4128 ; Zederik -- poŝtkodo -- 4230u20134231 ; Zederik -- poŝtkodo -- 4233 ; Zederik -- poŝtkodo -- 4235 ; Zederik -- poŝtkodo -- 4243 ; Zederik -- poŝtkodo -- 4245 ; Zederik -- ŝtato -- Nederlando ; Zederik -- estas -- municipo en Nederlando ; Zederik -- komuna landlimo kun -- Leerdam ; Zederik -- komuna landlimo kun -- Vianen (Utrecht) ; Zederik -- komuna landlimo kun -- Giessenlanden ; Zederik -- komuna landlimo kun -- Molenwaard ; Zederik -- komuna landlimo kun -- Lopik ; Zederik -- Komuneja kategorio -- Zederik ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Leerbroek ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Nieuwland, Zederik ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Lakerveld ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Broek ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Kortenhoeven ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Middelkoop ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Tienhoven, South Holland ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Meerkerk ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Ameide ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Lexmond ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Achthoven, South Holland ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Geer, South Holland ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Hei- en Boeicop nan . ;
24_q	Viesca estas unu el la (manka nombro) komunumoj de la meksika subŝtato (manka vorto), kiu situas en norda Meksiko (sed sen limo al Usono). 
24_q_triples	 Viesca -- ŝtato -- Meksiko ; Viesca -- estas -- Municipo ; Viesca -- troviĝas en administra unuo -- Coahuila ; Viesca -- ĉefurbo -- Viesca ;
25_q	Cecilia estas argentina filmo aperinta en (jaro). 
25_q_triples	 Cecilia -- originala lingvo -- hispana lingvo ; Cecilia -- estas -- filmo ; Cecilia -- ĉefrolanto -- Daisy Granados ; Cecilia -- reĝisoro -- Humberto Solu00E1s ; Cecilia -- eldonit/ata en -- Kubo ; Cecilia -- komponisto -- Leo Brouwer ; Cecilia -- titolo -- Cecilia ; Cecilia -- koloro -- kolora ; Cecilia -- http://www.wikidata.org/prop/direct/P1981 -- FSK 16 ; Cecilia -- surbaze de -- Cecilia Valdés (romano) ;
26_q	Kantono Laurens (angle (manka vorto) County) estas kantono de la usona ŝtato Georgio. 
26_q_triples	 Kantono Laurens -- Komuneja kategorio -- Laurent ; Kantono Laurens -- ŝtato -- Usono ; Kantono Laurens -- troviĝas en administra unuo -- Georgio ; Kantono Laurens -- estas -- county of Georgia ; Kantono Laurens -- nomita laŭ -- John Laurens ; Kantono Laurens -- komuna landlimo kun -- Kantono Johnson ; Kantono Laurens -- komuna landlimo kun -- Kantono Dodge ; Kantono Laurens -- komuna landlimo kun -- Kantono Emanuel ; Kantono Laurens -- komuna landlimo kun -- Treutlen County ; Kantono Laurens -- komuna landlimo kun -- Kantono Wheeler ; Kantono Laurens -- komuna landlimo kun -- Kantono Bleckley ; Kantono Laurens -- komuna landlimo kun -- Kantono Wilkinson ; Kantono Laurens -- komuna landlimo kun -- Twiggs County ; Kantono Laurens -- ĉefurbo -- Dublin ; Kantono Laurens -- subdividoj -- Dublin ;
27_q	Rábaszentmihály ((manka vorto)) estas malgranda vilaĝo en Hungario en regiono okcidenta Transdanubio, en departemento Győr-Moson-Sopron, en subregiono de Csorna. 
27_q_triples	 Rábaszentmihály -- troviĝas en administra unuo -- Győr-Moson-Sopron ; Rábaszentmihály -- ŝtato -- Hungario ; Rábaszentmihály -- estas -- municipality of Hungary ; Rábaszentmihály -- Komuneja kategorio -- Ru00E1batzentmihu00E1ly ; Rábaszentmihály -- poŝtkodo -- 9135 ; Rábaszentmihály -- tempozono -- Mezeŭropa tempo ; Rábaszentmihály -- loka telefonkodo -- 96 ;
28_q	Desloch estas komunumo en Germanio. 
28_q_triples	 Desloch -- ŝtato -- Germanio ; Desloch -- Komuneja kategorio -- Detloch ; Desloch -- estas -- municipo en Germanio ; Desloch -- troviĝas en administra unuo -- Bad Kreuznach ; Desloch -- poŝtkodo -- 55592 ; Desloch -- loka telefonkodo -- 06753 ;
29_q	Georgenthal estas komunumo en Germanio. 
29_q_triples	 Georgenthal -- ŝtato -- Germanio ; Georgenthal -- Komuneja kategorio -- Georgenthal ; Georgenthal -- estas -- municipo en Germanio ; Georgenthal -- poŝtkodo -- 99887 ; Georgenthal -- komuneja bildaro -- Georgenthal ; Georgenthal -- troviĝas en administra unuo -- Distrikto Gotha ; Georgenthal -- loka telefonkodo -- 036253 ;
30_q	Dammartin-en-Goële [(manka vorto)] estas franca komunumo en la departemento Seine-et-Marne, en la regiono Francilio. 
30_q_triples	 Dammartin-en-Goële -- Komuneja kategorio -- Dammartin-en-Gou00EBle ; Dammartin-en-Goële -- ŝtato -- Francio ; Dammartin-en-Goële -- troviĝas en administra unuo -- canton of Dammartin-en-Gou00EBle ; Dammartin-en-Goële -- troviĝas en administra unuo -- Seine-et-Marne ; Dammartin-en-Goële -- estas -- Komunumo ; Dammartin-en-Goële -- ĉefurbo de -- canton of Dammartin-en-Gou00EBle ; Dammartin-en-Goële -- komuna landlimo kun -- Othis ; Dammartin-en-Goële -- komuna landlimo kun -- Rouvres ; Dammartin-en-Goële -- komuna landlimo kun -- Saint-Mard ; Dammartin-en-Goële -- komuna landlimo kun -- Thieux ; Dammartin-en-Goële -- komuna landlimo kun -- Villeneuve-sous-Dammartin ; Dammartin-en-Goële -- komuna landlimo kun -- Ève ; Dammartin-en-Goële -- komuna landlimo kun -- Longperrier ; Dammartin-en-Goële -- poŝtkodo -- 77230 ;
